#Data tag : 24v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
378981:9473,04/05/24 16:26:33,779,779,0.000228435,0.000218745
378985:9474,04/06/24 00:24:34,768,768,0.000259518,0.000255930
378993:9475,04/06/24 08:01:17,80,79,0.000081512,0.000078124
378994:9475,04/06/24 08:35:14,27,27,0.000035813,0.000034443
378995:9475,04/06/24 08:48:26,25,25,0.000038197,0.000036550
378996:9475,04/06/24 09:00:58,23,23,0.000037070,0.000035880
378997:9475,04/06/24 09:12:52,22,22,0.000034978,0.000034228
378998:9475,04/06/24 09:24:32,23,22,0.000039718,0.000038096
378999:9475,04/06/24 09:36:18,24,24,0.000040904,0.000038723
379000:9475,04/06/24 09:48:29,23,23,0.000038623,0.000037539
379001:9475,04/06/24 10:00:48,23,23,0.000038027,0.000035550
379002:9475,04/06/24 10:12:36,2,2,0.000003269,0.000000267
379003:9475,04/06/24 10:15:00,27,27,0.000043773,0.000040313
379004:9475,04/06/24 10:28:02,25,25,0.000039889,0.000037924
379005:9475,04/06/24 10:40:36,23,23,0.000036123,0.000034365
379006:9475,04/06/24 10:52:20,24,24,0.000037125,0.000034868
379007:9475,04/06/24 11:04:31,23,23,0.000034981,0.000033536
379008:9475,04/06/24 11:16:38,23,23,0.000034556,0.000033317
379009:9475,04/06/24 11:28:47,22,22,0.000032575,0.000031705
379010:9475,04/06/24 11:40:32,23,23,0.000033578,0.000032012
379011:9475,04/06/24 11:58:18,399,399,0.000522639,0.000472537
379012:9475,04/06/24 14:37:43,73,73,0.000085735,0.000084563
379028:9476,04/06/24 19:56:15,534,534,0.000780810,0.000762560
379029:9476,04/06/24 23:25:47,67,67,0.000099539,0.000052030
379030:9476,04/06/24 23:55:39,6,6,0.000008728,0.000000013
379031:9476,04/07/24 00:02:34,289,289,0.000392199,0.000384019
379058:9479,04/07/24 09:34:30,826,826,0.010356338,0.010086804
379075:9483,04/08/24 02:29:09,375,375,0.004333424,0.004233186
379154:9485,04/08/24 22:13:02,1049,1049,0.011851241,0.011566251
379238:9496,04/10/24 16:44:24,286,286,0.018236389,0.017603122
379243:9497,04/10/24 20:30:21,299,299,0.020194020,0.019860011
379252:9499,04/11/24 01:57:11,644,644,0.047324646,0.046218596
379253:9499,04/11/24 06:08:54,104,104,0.008169451,0.008057776
379315:9509,04/12/24 06:45:09,250,250,0.016122450,0.015949224
379316:9509,04/12/24 08:26:42,2,2,0.000156589,0.000137589
379317:9509,04/12/24 10:04:56,5,5,0.000391246,0.000365247
379318:9509,04/12/24 10:09:55,86,86,0.006753955,0.006673128
379337:9510,04/12/24 13:14:35,181,181,0.010929138,0.009820815
379338:9510,04/12/24 14:27:21,170,170,0.013350588,0.012079911
379349:9512,04/12/24 21:25:43,311,311,0.045055734,0.043824723
379350:9512,04/12/24 23:29:01,228,228,0.037985036,0.037151072
379355:9512,04/13/24 03:39:10,20,20,0.003140337,0.002984900
379415:9517,04/14/24 17:21:35,28,28,0.002267541,0.001393985
379416:9517,04/14/24 17:34:18,225,225,0.050635074,0.045953235
379420:9518,04/14/24 21:02:55,517,517,0.115145982,0.108704809
379425:9519,04/15/24 02:03:52,203,203,0.039903447,0.037559999
379433:9520,04/15/24 05:13:11,21,21,0.001481356,0.001349654
379442:9521,04/15/24 07:07:46,269,269,0.057498227,0.054119940
379454:9523,04/15/24 11:25:22,508,508,0.113661047,0.103137832
379456:9523,04/15/24 14:47:09,1199,1199,0.219102905,0.205848480
379470:9525,04/16/24 00:38:26,800,800,0.182472357,0.171624165
379530:9530,04/17/24 01:12:13,593,593,0.196639099,0.183745231
379613:9537,04/18/24 03:20:17,129,129,0.035972490,0.031199583
379614:9537,04/18/24 04:12:31,2,2,0.000717409,0.000000240
379615:9537,04/18/24 04:15:35,5,5,0.001795387,0.000000374
379616:9537,04/18/24 04:19:59,3,3,0.001068885,0.000020610
379617:9537,04/18/24 04:23:35,665,665,0.231840530,0.217712992
379618:9537,04/18/24 08:43:50,360,360,0.105167221,0.101296669
379660:9539,04/18/24 16:49:04,1507,1507,0.447086439,0.430986511
379661:9539,04/19/24 02:37:20,406,406,0.082788242,0.081679444
379729:9543,04/19/24 17:38:45,1466,1466,0.471790453,0.457348832
379765:9548,04/20/24 14:03:25,1696,1696,0.571788439,0.543339884
379766:9548,04/21/24 01:05:48,3,3,0.000705030,0
379774:9549,04/21/24 03:13:58,157,157,0.053379538,0.050890583
379866:9559,04/23/24 20:37:55,1347,1347,0.289227678,0.281574708
379984:9562,04/25/24 11:47:58,913,913,0.245359344,0.238547845
380001:9564,04/25/24 20:39:17,692,692,0.246453619,0.237860854
380005:9565,04/26/24 03:10:19,1069,1069,0.380470518,0.363194368
380006:9565,04/26/24 10:09:58,2,2,0.000609630,0.000005950
380007:9565,04/26/24 10:12:08,129,129,0.037911797,0.036040010
380029:9566,04/26/24 15:02:20,82,82,0.020883270,0.015518426
380030:9566,04/26/24 15:37:30,346,346,0.149905154,0.142247220
380032:9566,04/26/24 19:11:02,19,19,0.007506059,0.007060366
380033:9566,04/26/24 19:21:25,53,53,0.021416376,0.020436605
380043:9567,04/26/24 22:44:31,900,900,0.369763670,0.351735005
380049:9568,04/27/24 07:10:37,871,871,0.363439901,0.342900019
380050:9568,04/27/24 12:52:40,4,4,0.001519579,0.000039887
380051:9568,04/27/24 12:55:48,735,735,0.232414552,0.223962946
380052:9568,04/27/24 17:45:43,22,22,0.005773897,0.002947031
380053:9568,04/27/24 17:57:47,128,128,0.032420634,0.031408845
380056:9568,04/27/24 18:55:05,168,168,0.038213505,0.036752376
380066:9569,04/27/24 22:17:19,552,552,0.226951861,0.215993095
380074:9570,04/28/24 06:24:04,1307,1307,0.501064563,0.479585412
380115:9573,04/29/24 09:42:28,1792,1792,0.650389147,0.624994353
380195:9575,04/30/24 22:56:49,170,170,0.070362546,0.042193082
380196:9575,05/01/24 00:05:16,6,6,0.003230058,0.002393957
380197:9575,05/01/24 00:09:50,357,357,0.168331318,0.159216938
380235:9579,05/01/24 17:29:48,257,257,0.105223218,0.098197285
380236:9579,05/01/24 19:12:09,78,78,0.036719737,0.030019822
380237:9579,05/01/24 19:44:58,39,39,0.018456845,0.016496149
380238:9579,05/01/24 20:02:54,35,35,0.016454275,0.015159443
380306:9585,05/02/24 19:54:09,246,246,0.101162978,0.093982159
380307:9585,05/02/24 21:33:27,21,21,0.009867059,0.008454228
